nameFirst,nameLast,tname
Fred,Mitchell,Chicago Cubs
Rich,Renteria,Chicago Cubs
Hank,O'Day,Chicago Cubs
Frank,Selee,Chicago Cubs
Bob,Scheffing,Chicago Cubs
Dale,Sveum,Chicago Cubs
El,Tappe,Chicago Cubs
Tom,Trebelhorn,Chicago Cubs
Jimmie,Wilson,Chicago Cubs
John,Vukovich,Chicago Cubs
Don,Zimmer,Chicago Cubs
Lee,Elia,Chicago Cubs
Harry,Craft,Chicago Cubs
Jim,Essian,Chicago Cubs
Johnny,Evers,Chicago Cubs
Leo,Durocher,Chicago Cubs
Charlie,Fox,Chicago Cubs
Herman,Franks,Chicago Cubs
George,Gibson,Chicago Cubs
Charlie,Grimm,Chicago Cubs
Jim,Frey,Chicago Cubs
Preston,Gomez,Chicago Cubs
Frankie,Frisch,Chicago Cubs
Stan,Hack,Chicago Cubs
Tom,Burns,Chicago Orphans
Tom,Loftus,Chicago Orphans
Frank,Selee,Chicago Orphans
Bill,Adair,Chicago White Sox
Lena,Blackburne,Chicago White Sox
Donie,Bush,Chicago White Sox
Jimmy,Callahan,Chicago White Sox
Gene,Lamont,Chicago White Sox
Tony,LaRussa,Chicago White Sox
Terry,Bevington,Chicago White Sox
Al,Lopez,Chicago White Sox
Ted,Lyons,Chicago White Sox
Bob,Lemon,Chicago White Sox
Jerry,Manuel,Chicago White Sox
Marty,Marion,Chicago White Sox
Jack,Onslow,Chicago White Sox
Les,Moss,Chicago White Sox
Doug,Rader,Chicago White Sox
Paul,Richards,Chicago White Sox
Pants,Rowland,Chicago White Sox
Eddie,Stanky,Chicago White Sox
Chuck,Tanner,Chicago White Sox
Ed,Walsh,Chicago White Sox
Robin,Ventura,Chicago White Sox
Jeff,Torborg,Chicago White Sox
Don,Cooper,Chicago White Sox
Red,Corriden,Chicago White Sox
Larry,Doby,Chicago White Sox
Johnny,Evers,Chicago White Sox
Hugh,Duffy,Chicago White Sox
Jimmy,Dykes,Chicago White Sox
Lew,Fonseca,Chicago White Sox
Jim,Fregosi,Chicago White Sox
Ozzie,Guillen,Chicago White Sox
Kid,Gleason,Chicago White Sox
Don,Gutteridge,Chicago White Sox
Jimmy,Wood,Chicago White Stockings
Ed,Hengel,Chicago/Pittsburgh (Union League)
Ollie,Caylor,Cincinnati Red Stockings
Gus,Schmelz,Cincinnati Red Stockings
Fred,Hutchinson,Cincinnati Redlegs
Mayo,Smith,Cincinnati Redlegs
Birdie,Tebbetts,Cincinnati Redlegs
Jimmy,Dykes,Cincinnati Redlegs
Rogers,Hornsby,Cincinnati Reds
Earle,Brucker,Cincinnati Reds
Frank,Bancroft,Cincinnati Reds
Davey,Johnson,Cincinnati Reds
Ray,Knight,Cincinnati Reds
Dan,Howley,Cincinnati Reds
Sparky,Anderson,Cincinnati Reds
Bob,Boone,Cincinnati Reds
Donie,Bush,Cincinnati Reds
Fred,Hutchinson,Cincinnati Reds
Dusty,Baker,Cincinnati Reds
Dave,Bristol,Cincinnati Reds
Bid,McPhee,Cincinnati Reds
Christy,Mathewson,Cincinnati Reds
Pete,Mackanin,Cincinnati Reds
Bill,McKechnie,Cincinnati Reds
Jack,McKeon,Cincinnati Reds
Tom,Loftus,Cincinnati Reds
John,McNamara,Cincinnati Reds
Bryan,Price,Cincinnati Reds
Tony,Perez,Cincinnati Reds
Jerry,Narron,Cincinnati Reds
Dave,Miley,Cincinnati Reds
Johnny,Neun,Cincinnati Reds
Russ,Nixon,Cincinnati Reds
Vern,Rapp,Cincinnati Reds
Buster,Mills,Cincinnati Reds
Hank,O'Day,Cincinnati Reds
Lou,Piniella,Cincinnati Reds
Pat,Moran,Cincinnati Reds
Pete,Rose,Cincinnati Reds
Luke,Sewell,Cincinnati Reds
Burt,Shotton,Cincinnati Reds
Dick,Sisler,Cincinnati Reds
Bobby,Wallace,Cincinnati Reds
Bucky,Walters,Cincinnati Reds
Chuck,Dressen,Cincinnati Reds
Buck,Ewing,Cincinnati Reds
Tommy,Helms,Cincinnati Reds
Jack,Hendricks,Cincinnati Reds
Hank,Gowdy,Cincinnati Reds
Ned,Hanlon,Cincinnati Reds
Clark,Griffith,Cincinnati Reds
Don,Heffner,Cincinnati Reds
Frank,Bancroft,Cleveland Blues
Tom,Loftus,Cleveland Blues
Jimmy,Williams,Cleveland Blues
Charlie,Hackett,Cleveland Blues
Bill,Armour,Cleveland Bronchos
Joe,Birmingham,Cleveland Indians
Joe,Adcock,Cleveland Indians
Sandy,Alomar,Cleveland Indians
Walter,Johnson,Cleveland Indians
Ken,Aspromonte,Cleveland Indians
Bobby,Bragan,Cleveland Indians
Manny,Acta,Cleveland Indians
Mel,McGaha,Cleveland Indians
Johnny,Lipon,Cleveland Indians
Charlie,Manuel,Cleveland Indians
Jack,McCallister,Cleveland Indians
John,McNamara,Cleveland Indians
Al,Lopez,Cleveland Indians
Roger,Peckinpaugh,Cleveland Indians
Steve,O'Neill,Cleveland Indians
Frank,Robinson,Cleveland Indians
George,Strickland,Cleveland Indians
Joel,Skinner,Cleveland Indians
Birdie,Tebbetts,Cleveland Indians
Eric,Wedge,Cleveland Indians
Jeff,Torborg,Cleveland Indians
Jo-Jo,White,Cleveland Indians
Ossie,Vitt,Cleveland Indians
Jimmy,Dykes,Cleveland Indians
Lee,Fohl,Cleveland Indians
Pat,Corrales,Cleveland Indians
Doc,Edwards,Cleveland Indians
Bibb,Falk,Cleveland Indians
Kerby,Farrell,Cleveland Indians
Mike,Ferraro,Cleveland Indians
Al,Dark,Cleveland Indians
Joe,Gordon,Cleveland Indians
Dave,Garcia,Cleveland Indians
Mel,Harder,Cleveland Indians
Mike,Hargrove,Cleveland Indians
Terry,Francona,Cleveland Indians
John,Hart,Cleveland Indians
Bill,Armour,Cleveland Naps
Deacon,McGuire,Cleveland Naps
Bob,Leadley,Cleveland Spiders
Tom,Loftus,Cleveland Spiders
Gus,Schmelz,Cleveland Spiders
Clint,Hurdle,Colorado Rockies
Don,Baylor,Colorado Rockies
Buddy,Bell,Colorado Rockies
Jim,Leyland,Colorado Rockies
Jim,Tracy,Colorado Rockies
Walt,Weiss,Colorado Rockies
Horace,Phillips,Columbus Buckeyes
Gus,Schmelz,Columbus Buckeyes
Al,Buckenberger,Columbus Solons
Gus,Schmelz,Columbus Solons
Pat,Sullivan,Columbus Solons
Hughie,Jennings,Detroit Tigers
Ralph,Houk,Detroit Tigers
Ed,Barrow,Detroit Tigers
Sparky,Anderson,Detroit Tigers
Billy,Hitchcock,Detroit Tigers
Bill,Armour,Detroit Tigers
Buddy,Bell,Detroit Tigers
Brad,Ausmus,Detroit Tigers
Fred,Hutchinson,Detroit Tigers
Del,Baker,Detroit Tigers
Jim,Leyland,Detroit Tigers
Billy,Martin,Detroit Tigers
George,Moriarty,Detroit Tigers
Les,Moss,Detroit Tigers
Larry,Parrish,Detroit Tigers
Luis,Pujols,Detroit Tigers
Cy,Perkins,Detroit Tigers
Bill,Norman,Detroit Tigers
Steve,O'Neill,Detroit Tigers
Mayo,Smith,Detroit Tigers
George,Stallings,Detroit Tigers
Bob,Scheffing,Detroit Tigers
Frank,Skaff,Detroit Tigers
Joe,Schultz,Detroit Tigers
Red,Rolfe,Detroit Tigers
Dick,Tracewski,Detroit Tigers
Bob,Swift,Detroit Tigers
Alan,Trammell,Detroit Tigers
Jack,Tighe,Detroit Tigers
Jimmy,Dykes,Detroit Tigers
Mickey,Cochrane,Detroit Tigers
Chuck,Dressen,Detroit Tigers
Frank,Dwyer,Detroit Tigers
Joe,Gordon,Detroit Tigers
Phil,Garner,Detroit Tigers
Bucky,Harris,Detroit Tigers
Bob,Leadley,Detroit Wolverines
Frank,Bancroft,Detroit Wolverines
Bill,Watkins,Detroit Wolverines
Jack,Chapman,Detroit Wolverines
Doug,Allison,Elizabeth Resolutes
John,Boles,Florida Marlins
Rene,Lachemann,Florida Marlins
Brandon,Hyde,Florida Marlins
Jim,Leyland,Florida Marlins
Jack,McKeon,Florida Marlins
Tony,Perez,Florida Marlins
Edwin,Rodriguez,Florida Marlins
Cookie,Rojas,Florida Marlins
Jeff,Torborg,Florida Marlins
Joe,Girardi,Florida Marlins
Fredi,Gonzalez,Florida Marlins
Art,Howe,Houston Astros
A. J.,Hinch,Houston Astros
Hal,Lanier,Houston Astros
Tom,Lawless,Houston Astros
Bob,Lillis,Houston Astros
Bo,Porter,Houston Astros
Salty,Parker,Houston Astros
Brad,Mills,Houston Astros
Harry,Walker,Houston Astros
Jimy,Williams,Houston Astros
Bill,Virdon,Houston Astros
Cecil,Cooper,Houston Astros
Tony,DeFrancesco,Houston Astros
Larry,Dierker,Houston Astros
Dave,Clark,Houston Astros
Terry,Collins,Houston Astros
Leo,Durocher,Houston Astros
Matt,Galante,Houston Astros
Phil,Garner,Houston Astros
Lum,Harris,Houston Astros
Preston,Gomez,Houston Astros
Grady,Hatton,Houston Astros
Harry,Craft,Houston Colt .45's
Lum,Harris,Houston Colt .45's
Frank,Bancroft,Indianapolis Hoosiers
Watch,Burnham,Indianapolis Hoosiers
Bill,Phillips,Indianapolis Hoosiers
Harry,Spence,Indianapolis Hoosiers
Fred,Thomas,Indianapolis Hoosiers
Horace,Fogel,Indianapolis Hoosiers
Jim,Gifford,Indianapolis Hoosiers
Hank,Bauer,Kansas City Athletics
Luke,Appling,Kansas City Athletics
Lou,Boudreau,Kansas City Athletics
Mel,McGaha,Kansas City Athletics
Eddie,Lopat,Kansas City Athletics
Haywood,Sullivan,Kansas City Athletics
Bob,Elliott,Kansas City Athletics
Harry,Craft,Kansas City Athletics
Al,Dark,Kansas City Athletics
Joe,Gordon,Kansas City Athletics
Bill,Watkins,Kansas City Cowboys
Bob,Lemon,Kansas City Royals
Whitey,Herzog,Kansas City Royals
Bob,Boone,Kansas City Royals
Dick,Howser,Kansas City Royals
Trey,Hillman,Kansas City Royals
Buddy,Bell,Kansas City Royals
Hal,McRae,Kansas City Royals
Jack,McKeon,Kansas City Royals
Tony,Muser,Kansas City Royals
Charlie,Metro,Kansas City Royals
Tony,Pena,Kansas City Royals
John,Mizerock,Kansas City Royals
Bob,Schaefer,Kansas City Royals
John,Wathan,Kansas City Royals
Ned,Yost,Kansas City Royals
Mike,Ferraro,Kansas City Royals
Joe,Gordon,Kansas City Royals
Billy,Gardner,Kansas City Royals
Jim,Frey,Kansas City Royals
Bill,Rigney,Los Angeles Angels
Mike,Scioscia,Los Angeles Angels of Anaheim
Walter,Alston,Los Angeles Dodgers
Davey,Johnson,Los Angeles Dodgers
Tom,Lasorda,Los Angeles Dodgers
Glenn,Hoffman,Los Angeles Dodgers
Don,Mattingly,Los Angeles Dodgers
Grady,Little,Los Angeles Dodgers
Bill,Russell,Los Angeles Dodgers
Dave,Roberts,Los Angeles Dodgers
Joe,Torre,Los Angeles Dodgers
Jim,Tracy,Los Angeles Dodgers
Billy,Barnie,Louisville Colonels
John,Kelly,Louisville Colonels
Bill,McGunnigle,Louisville Colonels
John,McCloskey,Louisville Colonels
Mordecai,Davidson,Louisville Colonels
Jack,Chapman,Louisville Colonels
Jim,Hart,Louisville Colonels
Mike,Walsh,Louisville Eclipse
Jack,Chapman,Louisville Grays
Dan,Jennings,Miami Marlins
Don,Mattingly,Miami Marlins
Mike,Redmond,Miami Marlins
Ozzie,Guillen,Miami Marlins
Bobby,Bragan,Milwaukee Braves
Birdie,Tebbetts,Milwaukee Braves
Chuck,Dressen,Milwaukee Braves
Fred,Haney,Milwaukee Braves
Charlie,Grimm,Milwaukee Braves
Jim,Lefebvre,Milwaukee Brewers
Harvey,Kuenn,Milwaukee Brewers
Rene,Lachemann,Milwaukee Brewers
George,Bamberger,Milwaukee Brewers
Dave,Bristol,Milwaukee Brewers
Ken,Macha,Milwaukee Brewers
Tom,Loftus,Milwaukee Brewers
Roy,McMillan,Milwaukee Brewers
Davey,Lopes,Milwaukee Brewers
Dale,Sveum,Milwaukee Brewers
Jerry,Royster,Milwaukee Brewers
Buck,Rodgers,Milwaukee Brewers
Ron,Roenicke,Milwaukee Brewers
Tom,Trebelhorn,Milwaukee Brewers
Ned,Yost,Milwaukee Brewers
Craig,Counsell,Milwaukee Brewers
Del,Crandall,Milwaukee Brewers
Charlie,Cushman,Milwaukee Brewers
Phil,Garner,Milwaukee Brewers
Alex,Grammas,Milwaukee Brewers
Jack,Chapman,Milwaukee Grays
Tom,Kelly,Minnesota Twins
Cookie,Lavagetto,Minnesota Twins
Sam,Mele,Minnesota Twins
Gene,Mauch,Minnesota Twins
Billy,Martin,Minnesota Twins
Frank,Quilici,Minnesota Twins
Ray,Miller,Minnesota Twins
Paul,Molitor,Minnesota Twins
Bill,Rigney,Minnesota Twins
Cal,Ermer,Minnesota Twins
Johnny,Goryl,Minnesota Twins
Ron,Gardenhire,Minnesota Twins
Billy,Gardner,Minnesota Twins
Felipe,Alou,Montreal Expos
Karl,Kuehl,Montreal Expos
Gene,Mauch,Montreal Expos
Tom,Runnells,Montreal Expos
Frank,Robinson,Montreal Expos
Buck,Rodgers,Montreal Expos
Dick,Williams,Montreal Expos
Jeff,Torborg,Montreal Expos
Bill,Virdon,Montreal Expos
Jim,Fanning,Montreal Expos
Charlie,Fox,Montreal Expos
Hughie,Jennings,New York Giants
Cap,Anson,New York Giants
Fred,Hoey,New York Giants
Arthur,Irwin,New York Giants
John,McGraw,New York Giants
Mel,Ott,New York Giants
Pat,Powers,New York Giants
Jim,Mutrie,New York Giants
Bill,Rigney,New York Giants
Bill,Terry,New York Giants
Harvey,Watkins,New York Giants
Horace,Fogel,New York Giants
John,Day,New York Giants
Buck,Ewing,New York Giants
Leo,Durocher,New York Giants
Jim,Price,New York Gothams
George,Stallings,New York Highlanders
Clark,Griffith,New York Highlanders
Ollie,Caylor,New York Metropolitans
Jim,Mutrie,New York Metropolitans
Bob,Ferguson,New York Metropolitans
Jim,Gifford,New York Metropolitans
George,Bamberger,New York Mets
Frank,Howard,New York Mets
Davey,Johnson,New York Mets
Art,Howe,New York Mets
Gil,Hodges,New York Mets
Yogi,Berra,New York Mets
Jerry,Manuel,New York Mets
Roy,McMillan,New York Mets
Salty,Parker,New York Mets
Willie,Randolph,New York Mets
Casey,Stengel,New York Mets
Bobby,Valentine,New York Mets
Wes,Westrum,New York Mets
Jeff,Torborg,New York Mets
Joe,Torre,New York Mets
Mike,Cubbage,New York Mets
Terry,Collins,New York Mets
Bud,Harrelson,New York Mets
Dallas,Green,New York Mets
Joe,Frazier,New York Mets
Bill,Craver,New York Mutuals
Ralph,Houk,New York Yankees
Clyde,King,New York Yankees
Dick,Howser,New York Yankees
Miller,Huggins,New York Yankees
Johnny,Keane,New York Yankees
Yogi,Berra,New York Yankees
Billy,Martin,New York Yankees
Bob,Lemon,New York Yankees
Joe,McCarthy,New York Yankees
Stump,Merrill,New York Yankees
Gene,Michael,New York Yankees
Johnny,Neun,New York Yankees
Lou,Piniella,New York Yankees
Bob,Shawkey,New York Yankees
Buck,Showalter,New York Yankees
Casey,Stengel,New York Yankees
Joe,Torre,New York Yankees
Bill,Virdon,New York Yankees
Art,Fletcher,New York Yankees
Bucky,Dent,New York Yankees
Bill,Donovan,New York Yankees
Dallas,Green,New York Yankees
Bucky,Harris,New York Yankees
Joe,Girardi,New York Yankees
Bill,Phillips,Newark Pepper
Art,Howe,Oakland Athletics
Steve,Boros,Oakland Athletics
Hank,Bauer,Oakland Athletics
Tony,LaRussa,Oakland Athletics
Bob,Kennedy,Oakland Athletics
Billy,Martin,Oakland Athletics
Ken,Macha,Oakland Athletics
Jack,McKeon,Oakland Athletics
John,McNamara,Oakland Athletics
Jim,Marshall,Oakland Athletics
Bob,Melvin,Oakland Athletics
Jeff,Newman,Oakland Athletics
Jackie,Moore,Oakland Athletics
Chuck,Tanner,Oakland Athletics
Bobby,Winkles,Oakland Athletics
Dick,Williams,Oakland Athletics
Al,Dark,Oakland Athletics
Bob,Geren,Oakland Athletics
Frank,Bancroft,Philadelphia Athletics
Charlie,Mason,Philadelphia Athletics
Connie,Mack,Philadelphia Athletics
Earle,Mack,Philadelphia Athletics
Bill,Sharsig,Philadelphia Athletics
Lew,Simmons,Philadelphia Athletics
Al,Wright,Philadelphia Athletics
Jimmy,Dykes,Philadelphia Athletics
Freddie,Fitzsimmons,Philadelphia Blue Jays
Bucky,Harris,Philadelphia Blue Jays
Larry,Bowa,Philadelphia Phillies
Arthur,Irwin,Philadelphia Phillies
Frank,Lucchesi,Philadelphia Phillies
Pete,Mackanin,Philadelphia Phillies
Gene,Mauch,Philadelphia Phillies
Nick,Leyva,Philadelphia Phillies
Hans,Lobert,Philadelphia Phillies
Charlie,Manuel,Philadelphia Phillies
Steve,O'Neill,Philadelphia Phillies
Paul,Owens,Philadelphia Phillies
Danny,Ozark,Philadelphia Phillies
Billy,Murray,Philadelphia Phillies
Doc,Prothro,Philadelphia Phillies
George,Myatt,Philadelphia Phillies
Al,Reach,Philadelphia Phillies
Terry,Moore,Philadelphia Phillies
Pat,Moran,Philadelphia Phillies
Mayo,Smith,Philadelphia Phillies
Ryne,Sandberg,Philadelphia Phillies
Bill,Shettsline,Philadelphia Phillies
Eddie,Sawyer,Philadelphia Phillies
Burt,Shotton,Philadelphia Phillies
Bob,Skinner,Philadelphia Phillies
John,Vukovich,Philadelphia Phillies
Gary,Varsho,Philadelphia Phillies
Harry,Wright,Philadelphia Phillies
Kaiser,Wilhelm,Philadelphia Phillies
Art,Fletcher,Philadelphia Phillies
Pat,Corrales,Philadelphia Phillies
Lee,Elia,Philadelphia Phillies
Ben,Chapman,Philadelphia Phillies
Bill,Donovan,Philadelphia Phillies
Andy,Cohen,Philadelphia Phillies
John,Felske,Philadelphia Phillies
Dusty,Cooke,Philadelphia Phillies
Jack,Coombs,Philadelphia Phillies
Freddie,Fitzsimmons,Philadelphia Phillies
Dallas,Green,Philadelphia Phillies
Terry,Francona,Philadelphia Phillies
Jim,Fregosi,Philadelphia Phillies
Harry,Wright,Philadelphia Quakers
Ormond,Butler,Pittsburg Alleghenys
Denny,McKnight,Pittsburg Alleghenys
Al,Pratt,Pittsburg Alleghenys
Horace,Phillips,Pittsburg Alleghenys
Al,Buckenberger,Pittsburgh Pirates
Bill,Burwell,Pittsburgh Pirates
Donie,Bush,Pittsburgh Pirates
Clint,Hurdle,Pittsburgh Pirates
Jimmy,Callahan,Pittsburgh Pirates
Gene,Lamont,Pittsburgh Pirates
Bobby,Bragan,Pittsburgh Pirates
Hugo,Bezdek,Pittsburgh Pirates
Bill,McGunnigle,Pittsburgh Pirates
Bill,McKechnie,Pittsburgh Pirates
Pete,Mackanin,Pittsburgh Pirates
Jim,Leyland,Pittsburgh Pirates
Lloyd,McClendon,Pittsburgh Pirates
Danny,Murtaugh,Pittsburgh Pirates
Billy,Meyer,Pittsburgh Pirates
John,Russell,Pittsburgh Pirates
Larry,Shepard,Pittsburgh Pirates
Harry,Walker,Pittsburgh Pirates
Jim,Tracy,Pittsburgh Pirates
Chuck,Tanner,Pittsburgh Pirates
Pie,Traynor,Pittsburgh Pirates
Bill,Watkins,Pittsburgh Pirates
Bill,Virdon,Pittsburgh Pirates
Spud,Davis,Pittsburgh Pirates
Jewel,Ens,Pittsburgh Pirates
Fred,Clarke,Pittsburgh Pirates
Fred,Haney,Pittsburgh Pirates
Alex,Grammas,Pittsburgh Pirates
George,Gibson,Pittsburgh Pirates
Frankie,Frisch,Pittsburgh Pirates
Doc,Gessler,Pittsburgh Rebels
Frank,Bancroft,Providence Grays
Harry,Wright,Providence Grays
Felix,Moses,Richmond Virginians
Pat,Powers,Rochester Broncos
Buddy,Black,San Diego Padres
Frank,Howard,San Diego Padres
Bruce,Bochy,San Diego Padres
Steve,Boros,San Diego Padres
Larry,Bowa,San Diego Padres
Jack,McKeon,San Diego Padres
John,McNamara,San Diego Padres
Greg,Riddoch,San Diego Padres
Jim,Riggleman,San Diego Padres
Pat,Murphy,San Diego Padres
Dave,Roberts,San Diego Padres
Bob,Skinner,San Diego Padres
Don,Zimmer,San Diego Padres
Dick,Williams,San Diego Padres
Al,Dark,San Diego Padres
Roger,Craig,San Diego Padres
Jerry,Coleman,San Diego Padres
Andy,Green,San Diego Padres
Preston,Gomez,San Diego Padres
Dave,Bristol,San Francisco Giants
Clyde,King,San Francisco Giants
Felipe,Alou,San Francisco Giants
Joe,Altobelli,San Francisco Giants
Bruce,Bochy,San Francisco Giants
Dusty,Baker,San Francisco Giants
Danny,Ozark,San Francisco Giants
Bill,Rigney,San Francisco Giants
Tom,Sheehan,San Francisco Giants
Frank,Robinson,San Francisco Giants
Wes,Westrum,San Francisco Giants
Jim,Davenport,San Francisco Giants
Roger,Craig,San Francisco Giants
Al,Dark,San Francisco Giants
Charlie,Fox,San Francisco Giants
Herman,Franks,San Francisco Giants
Daren,Brown,Seattle Mariners
Jim,Lefebvre,Seattle Mariners
Darrell,Johnson,Seattle Mariners
Rene,Lachemann,Seattle Mariners
Marty,Martinez,Seattle Mariners
John,McLaren,Seattle Mariners
Lloyd,McClendon,Seattle Mariners
Bill,Plummer,Seattle Mariners
Jim,Riggleman,Seattle Mariners
Bob,Melvin,Seattle Mariners
Lou,Piniella,Seattle Mariners
Scott,Servais,Seattle Mariners
Jim,Snyder,Seattle Mariners
Don,Wakamatsu,Seattle Mariners
Dick,Williams,Seattle Mariners
Maury,Wills,Seattle Mariners
Eric,Wedge,Seattle Mariners
Chuck,Cottier,Seattle Mariners
Del,Crandall,Seattle Mariners
